trade_date,trade_time,open,high,low,close,volume,year,week,prev_week_high,prev_week_low,rsi,distance_to_prev_week_high_pct,distance_to_prev_week_low_pct,signal,forward_1,forward_3,forward_6
2016-05-02,16:00:00,1300.11,1303.65,1288.68,1294.79,36210,2016,18,1296.62,1229.94,81.13924050632879,-0.14113618484983476,5.272614924305243,BEARISH,-0.3962032453139028,-0.03321001861306186,-0.7159462152163658
2016-06-07,08:00:00,1243.03,1244.13,1241.67,1243.23,11888,2016,23,1244.59,1199.62,82.65211762530066,-0.10927293325512016,3.6353178506527173,BEARISH,-0.45365700634637995,0.03941346331732737,0.7408122390868975
2016-07-04,04:00:00,1342.76,1357.31,1340.3,1345.85,28598,2016,27,1344.49,1305.4,83.03821062441753,0.10115359727479564,3.09866707522597,BEARISH,0.29943901623510794,0.36333915369469855,-0.14934799569045518
2016-08-22,12:00:00,1333.26,1337.58,1332.78,1336.27,16199,2016,34,1357.94,1335.57,19.728128267689186,-1.5957995198609711,0.05241207873792056,BULLISH,0.20953849147252834,0.09578902467315534,0.38689785746893013
2016-09-12,16:00:00,1328.32,1328.57,1321.67,1322.15,32683,2016,37,1352.51,1321.68,12.17134416543604,-2.2447153810322957,0.035560801404275415,BULLISH,0.329009567749492,0.6209582876375456,0.1633702681238781
2016-09-22,00:00:00,1333.88,1335.92,1331.29,1333.22,6039,2016,38,1331.88,1306.14,87.60994263862268,0.10060966453433628,2.073284640237641,BEARISH,-0.035252996504704946,0.08625733187319899,0.29327492836891744
2016-09-22,04:00:00,1333.19,1334.71,1332.35,1332.75,13031,2016,38,1331.88,1306.14,86.94497153700112,0.06532120010810966,2.0373007487711807,BEARISH,-0.015006565372353814,0.746576627274436,0.12380416432189766
2016-09-22,08:00:00,1332.74,1334.29,1331.1,1332.55,12731,2016,38,1331.88,1306.14,85.96220593906574,0.0503048322671596,2.0219884545301308,BEARISH,0.13658024089151902,0.34370192488087914,0.18460845746876564
2016-11-14,20:00:00,1212.49,1228.42,1212.06,1217.24,50447,2016,46,1337.16,1219.03,17.63621466612061,-8.968261090669783,-0.14683805976882963,BULLISH,0.5167427951759689,0.6210771910223083,0.4978475896289923
2016-12-01,04:00:00,1172.37,1173.76,1162.03,1169.64,22627,2016,48,1220.95,1170.11,18.966930855425176,-4.202465293419054,-0.040167163770910425,BULLISH,0.23340515030263934,-0.11542012927055643,0.4249170684996922
