trade_date,trade_time,open,high,low,close,volume,rsi
2010-05-05,08:00:00,1.29494,1.29956,1.29345,1.29706,10690,14.039408866995174
2010-05-05,12:00:00,1.29698,1.29932,1.2859,1.28603,12482,11.969760604787979
2010-05-05,16:00:00,1.28599,1.29044,1.28034,1.28894,14734,15.483870967741794
2010-05-05,20:00:00,1.28896,1.28896,1.2809,1.28132,8315,12.965565706254324
2010-05-06,00:00:00,1.28131,1.28468,1.27891,1.28357,5111,17.376398412125624
2010-05-06,04:00:00,1.28354,1.28557,1.28181,1.28255,4571,17.156600748263003
2010-05-06,08:00:00,1.28259,1.28338,1.27371,1.28165,11982,14.778856526429493
2010-05-06,12:00:00,1.28172,1.28196,1.2709,1.27092,14034,12.415043044857427
2010-05-06,16:00:00,1.27096,1.27694,1.26542,1.27315,18733,17.164914586071063
2010-05-06,20:00:00,1.27313,1.27329,1.2527,1.2619,17841,15.920170627666138
2010-05-07,00:00:00,1.26191,1.26768,1.2586,1.26129,10338,16.48005046522637
2010-05-17,08:00:00,1.22912,1.2321,1.22543,1.22829,34980,18.14875431896749
2010-05-25,12:00:00,1.22068,1.22366,1.21776,1.22056,10542,19.132466773769494
2010-06-07,00:00:00,1.1946,1.19652,1.18817,1.19062,6424,17.438185536345287
2010-06-07,04:00:00,1.19064,1.19242,1.18758,1.1915,8405,19.049387300408668
2010-06-07,08:00:00,1.19149,1.19568,1.1906,1.19479,12310,19.705340699816034
2010-06-07,12:00:00,1.1948,1.19907,1.19359,1.19552,12045,18.944041643428008
2010-06-07,16:00:00,1.19553,1.19732,1.19179,1.19552,14086,17.56475704291927
2010-06-07,20:00:00,1.19549,1.1963,1.1912,1.19226,9013,17.675038051750448
2010-06-14,08:00:00,1.2174,1.22329,1.21631,1.22221,9843,83.67451381780958
2010-06-14,12:00:00,1.22225,1.22724,1.22163,1.22657,10254,81.33957297455377
2010-06-16,00:00:00,1.23296,1.23329,1.23084,1.23118,4670,80.14954172696609
2010-07-01,16:00:00,1.23883,1.24835,1.23807,1.24391,11836,80.14219171365536
2010-07-01,20:00:00,1.24392,1.25328,1.24389,1.25267,8541,83.25408310936533
2010-07-02,04:00:00,1.2507,1.25226,1.25052,1.25136,5354,83.68399339934017
2010-07-02,08:00:00,1.25132,1.25324,1.24824,1.25044,9177,83.10118803768931
2010-07-02,12:00:00,1.25045,1.26106,1.24985,1.25846,10442,84.38682816048431
2010-07-15,16:00:00,1.28579,1.29165,1.28536,1.28777,18614,86.52051226394615
2010-07-15,20:00:00,1.2878,1.2954,1.28776,1.29491,14766,86.50879860960234
2010-07-16,12:00:00,1.29456,1.30063,1.29364,1.29776,9675,80.55428309665615
