trade_date,trade_time,open,high,low,close,volume,momentum,forward_1,forward_3,forward_6
2019-03-14,12:00:00,1.13233,1.13356,1.12955,1.13014,19399,BEARISH_NY_OPEN,0.14865414904349247,0.473392677013484,-0.026545383757761602
2019-03-15,12:00:00,1.13253,1.13287,1.13117,1.13182,11428,BEARISH_NY_OPEN,0.3392765634111293,0.3463448251488685,-0.08305207541834751
2019-03-18,12:00:00,1.13494,1.1358,1.13399,1.13566,11548,BULLISH_NY_OPEN,-0.014969268971327816,0.3090713769966473,-0.40769244316079745
2019-03-19,12:00:00,1.13468,1.13612,1.13452,1.13549,9417,BULLISH_NY_OPEN,0.02201692661316801,-0.4975825414578864,-0.6578657672018324
2019-03-20,12:00:00,1.13449,1.13576,1.1335,1.13574,11260,BULLISH_NY_OPEN,0.3020057407505278,-0.4279148396639957,-1.1631183193336454
2019-03-21,12:00:00,1.14125,1.14134,1.13835,1.13917,15860,BEARISH_NY_OPEN,-0.8190173547407377,-0.7145553341467942,-1.4238436756586044
2019-03-22,12:00:00,1.13873,1.139,1.12881,1.12984,29851,BEARISH_NY_OPEN,0.09204843163635133,-0.16108475536358535,-0.6160164271047099
2019-03-25,12:00:00,1.13085,1.13245,1.12942,1.13088,15778,BULLISH_NY_OPEN,0.013264006791160196,-0.7383630447085525,-0.9541242218449417
2019-03-26,12:00:00,1.13122,1.13256,1.13025,1.13103,14764,BEARISH_NY_OPEN,-0.26612910356046765,-0.714393075338416,-0.5702766504867304
2019-03-27,12:00:00,1.12516,1.12852,1.12496,1.12802,20082,BULLISH_NY_OPEN,-0.48669349834222747,-0.45566567968652355,-0.5070832077445389
